,useDate,zone_id,energyTypeNo,useType,toeQty
97909,2023-08-08 00:00:00,4층,ELC,조명,0.0
97911,2023-08-08 00:00:00,4층,ELC,냉난방,0.0
97913,2023-08-08 00:00:00,3층,ELC,전열,0.38929999999995835
97914,2023-08-08 00:00:00,3층,ELC,냉난방,0.0
97918,2023-08-08 00:00:00,2층,ELC,전열,0.0
97917,2023-08-08 00:00:00,2층,ELC,조명,0.0
97921,2023-08-08 00:00:00,1층,ELC,전열,0.2518999999999792
97922,2023-08-08 00:00:00,1층,ELC,냉난방,0.045800000000010416
97912,2023-08-08 00:00:00,3층,ELC,조명,0.022899999999979173
97910,2023-08-08 00:00:00,4층,ELC,전열,0.16030000000006248
97919,2023-08-08 00:00:00,2층,ELC,냉난방,0.022899999999979173
97920,2023-08-08 00:00:00,1층,ELC,조명,0.0
97863,2023-08-08 01:00:00,2층,ELC,냉난방,0.022900000000083312
97855,2023-08-08 01:00:00,4층,ELC,냉난방,0.022900000000005208
97866,2023-08-08 01:00:00,1층,ELC,냉난방,0.0457999999999974
97858,2023-08-08 01:00:00,3층,ELC,냉난방,0.0228999999999987
97865,2023-08-08 01:00:00,1층,ELC,전열,0.13739999999997918
97857,2023-08-08 01:00:00,3층,ELC,전열,0.3893000000000625
97862,2023-08-08 01:00:00,2층,ELC,전열,0.0
97856,2023-08-08 01:00:00,3층,ELC,조명,0.0
97854,2023-08-08 01:00:00,4층,ELC,전열,0.18319999999993752
97861,2023-08-08 01:00:00,2층,ELC,조명,0.0
97864,2023-08-08 01:00:00,1층,ELC,조명,0.0
97853,2023-08-08 01:00:00,4층,ELC,조명,0.0
97808,2023-08-08 02:00:00,1층,ELC,조명,0.0
97807,2023-08-08 02:00:00,2층,ELC,냉난방,0.022899999999979173
97802,2023-08-08 02:00:00,3층,ELC,냉난방,0.0228999999999987
97806,2023-08-08 02:00:00,2층,ELC,전열,0.0
97799,2023-08-08 02:00:00,4층,ELC,냉난방,0.02289999999999219
97800,2023-08-08 02:00:00,3층,ELC,조명,0.0
97801,2023-08-08 02:00:00,3층,ELC,전열,0.38929999999995835
97798,2023-08-08 02:00:00,4층,ELC,전열,0.18320000000004166
97809,2023-08-08 02:00:00,1층,ELC,전열,0.13740000000003125
97805,2023-08-08 02:00:00,2층,ELC,조명,0.0
97797,2023-08-08 02:00:00,4층,ELC,조명,0.0
97810,2023-08-08 02:00:00,1층,ELC,냉난방,0.0687000000000026
97750,2023-08-08 03:00:00,2층,ELC,전열,0.0
97752,2023-08-08 03:00:00,1층,ELC,조명,0.0
97746,2023-08-08 03:00:00,3층,ELC,냉난방,0.022900000000005208
97743,2023-08-08 03:00:00,4층,ELC,냉난방,0.022900000000005208
97754,2023-08-08 03:00:00,1층,ELC,냉난방,0.0457999999999974
97745,2023-08-08 03:00:00,3층,ELC,전열,0.38929999999995835
97751,2023-08-08 03:00:00,2층,ELC,냉난방,0.0
97742,2023-08-08 03:00:00,4층,ELC,전열,0.18319999999993752
97744,2023-08-08 03:00:00,3층,ELC,조명,0.022900000000031243
97741,2023-08-08 03:00:00,4층,ELC,조명,0.0
97749,2023-08-08 03:00:00,2층,ELC,조명,0.0
97753,2023-08-08 03:00:00,1층,ELC,전열,0.13739999999997918
97687,2023-08-08 04:00:00,4층,ELC,냉난방,0.0
97690,2023-08-08 04:00:00,3층,ELC,냉난방,0.0
97697,2023-08-08 04:00:00,1층,ELC,전열,0.13740000000003125
97695,2023-08-08 04:00:00,2층,ELC,냉난방,0.022899999999979173
97693,2023-08-08 04:00:00,2층,ELC,조명,0.0
97689,2023-08-08 04:00:00,3층,ELC,전열,0.3893000000000625
97694,2023-08-08 04:00:00,2층,ELC,전열,0.0
97698,2023-08-08 04:00:00,1층,ELC,냉난방,0.0457999999999974
97686,2023-08-08 04:00:00,4층,ELC,전열,0.18320000000004166
97688,2023-08-08 04:00:00,3층,ELC,조명,0.0
97685,2023-08-08 04:00:00,4층,ELC,조명,0.0
97696,2023-08-08 04:00:00,1층,ELC,조명,0.0
97641,2023-08-08 05:00:00,1층,ELC,전열,0.13739999999997918
97629,2023-08-08 05:00:00,4층,ELC,조명,0.0
97642,2023-08-08 05:00:00,1층,ELC,냉난방,0.0687000000000026
97632,2023-08-08 05:00:00,3층,ELC,조명,0.0
97637,2023-08-08 05:00:00,2층,ELC,조명,0.0
97633,2023-08-08 05:00:00,3층,ELC,전열,0.3663999999999792
97631,2023-08-08 05:00:00,4층,ELC,냉난방,0.022900000000005208
97634,2023-08-08 05:00:00,3층,ELC,냉난방,0.0228999999999987
97639,2023-08-08 05:00:00,2층,ELC,냉난방,0.022899999999979173
97640,2023-08-08 05:00:00,1층,ELC,조명,0.0
97638,2023-08-08 05:00:00,2층,ELC,전열,0.0228999999999987
97630,2023-08-08 05:00:00,4층,ELC,전열,0.18320000000004166
97573,2023-08-08 06:00:00,4층,ELC,조명,0.0
97576,2023-08-08 06:00:00,3층,ELC,조명,0.022899999999979173
97584,2023-08-08 06:00:00,1층,ELC,조명,0.0
97586,2023-08-08 06:00:00,1층,ELC,냉난방,0.0457999999999974
97585,2023-08-08 06:00:00,1층,ELC,전열,0.13739999999997918
97582,2023-08-08 06:00:00,2층,ELC,전열,0.0
97581,2023-08-08 06:00:00,2층,ELC,조명,0.0
97583,2023-08-08 06:00:00,2층,ELC,냉난방,0.022899999999979173
97575,2023-08-08 06:00:00,4층,ELC,냉난방,0.02289999999999219
97577,2023-08-08 06:00:00,3층,ELC,전열,0.41220000000004164
97578,2023-08-08 06:00:00,3층,ELC,냉난방,0.0228999999999987
97574,2023-08-08 06:00:00,4층,ELC,전열,0.18319999999993752
97517,2023-08-08 07:00:00,4층,ELC,조명,0.0
97528,2023-08-08 07:00:00,1층,ELC,조명,0.0
97530,2023-08-08 07:00:00,1층,ELC,냉난방,0.0457999999999974
97527,2023-08-08 07:00:00,2층,ELC,냉난방,0.0
