,tm,temperature,rainfall,windspeed,humidity,ss,solar_radiation
0,2023-08-05 00:00,26.5,0,0.4,78,0,0
1,2023-08-05 01:00,25.9,0,0.4,81,0,0
2,2023-08-05 02:00,25.5,0,0.8,85,0,0
3,2023-08-05 03:00,25.3,0,0.3,88,0,0
4,2023-08-05 04:00,25.2,0,1.5,88,0,0
5,2023-08-05 05:00,24.8,0,1.0,88,0,0
6,2023-08-05 06:00,24.9,0,0.4,87,0.0,0.02
7,2023-08-05 07:00,27.5,0,1.1,78,1.0,0.39
8,2023-08-05 08:00,29.5,0,0.9,71,1.0,1.09
9,2023-08-05 09:00,30.8,0,1.2,66,1.0,1.79
10,2023-08-05 10:00,32.2,0,0.7,60,1.0,2.43
11,2023-08-05 11:00,32.3,0,2.5,64,0.8,2.61
12,2023-08-05 12:00,32.9,0,3.0,64,1.0,3.37
13,2023-08-05 13:00,33.0,0,1.8,62,1.0,3.42
14,2023-08-05 14:00,32.9,0,2.5,61,1.0,3.25
15,2023-08-05 15:00,32.7,0,2.3,61,1.0,2.9
16,2023-08-05 16:00,32.3,0,2.5,62,1.0,2.39
17,2023-08-05 17:00,31.7,0,1.7,62,1.0,1.77
18,2023-08-05 18:00,31.6,0,1.0,59,1.0,1.04
19,2023-08-05 19:00,30.5,0,0.4,62,0.7,0.33
20,2023-08-05 20:00,28.8,0,0.9,69,0.0,0.01
21,2023-08-05 21:00,28.2,0,1.1,72,0,0
22,2023-08-05 22:00,27.3,0,0.6,77,0,0
23,2023-08-05 23:00,26.8,0,0.7,80,0,0
24,2023-08-06 00:00,26.4,0,0.4,84,0,0
25,2023-08-06 01:00,26.0,0,0.5,86,0,0
26,2023-08-06 02:00,26.2,0,1.3,84,0,0
27,2023-08-06 03:00,26.0,0,1.4,87,0,0
28,2023-08-06 04:00,25.8,0,2.2,87,0,0
29,2023-08-06 05:00,25.9,0,0.5,87,0,0
30,2023-08-06 06:00,25.8,0,1.1,86,0.0,0.01
31,2023-08-06 07:00,28.2,0,0.4,80,1.0,0.4
32,2023-08-06 08:00,30.5,0,1.2,69,1.0,1.07
33,2023-08-06 09:00,31.3,0,1.2,67,1.0,1.82
34,2023-08-06 10:00,32.8,0,2.3,61,0.9,2.19
35,2023-08-06 11:00,32.3,0,3.5,61,1.0,3.08
36,2023-08-06 12:00,31.8,0,4.2,61,1.0,3.3
37,2023-08-06 13:00,32.8,0,3.7,60,1.0,3.33
38,2023-08-06 14:00,32.7,0,3.2,60,1.0,3.25
39,2023-08-06 15:00,32.4,0,3.2,57,1.0,2.84
40,2023-08-06 16:00,31.4,0,4.3,59,1.0,2.45
41,2023-08-06 17:00,31.4,0,2.9,58,1.0,1.78
42,2023-08-06 18:00,30.3,0,2.7,62,1.0,1.07
43,2023-08-06 19:00,29.2,0,2.1,64,0.7,0.33
44,2023-08-06 20:00,28.5,0,2.9,68,0.0,0.01
45,2023-08-06 21:00,27.7,0,2.5,73,0,0
46,2023-08-06 22:00,27.2,0,2.5,79,0,0
47,2023-08-06 23:00,26.9,0,1.9,81,0,0
48,2023-08-07 00:00,26.8,0,1.7,82,0,0
49,2023-08-07 01:00,26.7,0,2.4,83,0,0
50,2023-08-07 02:00,26.9,0,2.5,82,0,0
51,2023-08-07 03:00,26.7,0,2.2,84,0,0
52,2023-08-07 04:00,26.5,0,2.4,85,0,0
53,2023-08-07 05:00,26.5,0,2.7,86,0,0
54,2023-08-07 06:00,26.6,0,2.9,84,0.0,0.01
55,2023-08-07 07:00,26.9,0,2.7,83,0.0,0.14
56,2023-08-07 08:00,28.9,0,4.3,73,0.9,1.02
57,2023-08-07 09:00,29.9,0,2.8,69,1.0,1.85
58,2023-08-07 10:00,29.5,0,3.0,70,0.2,1.15
59,2023-08-07 11:00,30.0,0,2.7,68,0.2,1.41
60,2023-08-07 12:00,30.0,0,3.1,69,0.0,1.01
61,2023-08-07 13:00,29.6,0,2.8,72,0.0,0.94
62,2023-08-07 14:00,29.2,0,4.7,72,0.1,1.1
63,2023-08-07 15:00,29.4,0,3.9,72,0.1,1.22
64,2023-08-07 16:00,28.4,0,4.1,74,0.1,0.96
65,2023-08-07 17:00,28.5,0,3.7,72,0.2,0.92
66,2023-08-07 18:00,28.0,0,3.5,72,0.3,0.62
67,2023-08-07 19:00,26.7,0.0,3.5,78,0.0,0.25
68,2023-08-07 20:00,26.2,0.0,2.2,80,0.0,0.01
69,2023-08-07 21:00,26.0,0,2.3,82,0,0
70,2023-08-07 22:00,25.6,0,3.2,84,0,0
71,2023-08-07 23:00,25.5,0,1.8,82,0,0
72,2023-08-08 00:00,25.0,0,2.3,83,0,0
73,2023-08-08 01:00,25.0,0,2.2,83,0,0
74,2023-08-08 02:00,25.0,0,3.2,83,0,0
75,2023-08-08 03:00,25.3,0,2.5,83,0,0
76,2023-08-08 04:00,25.3,0,3.0,84,0,0
77,2023-08-08 05:00,25.3,0,2.5,83,0,0
78,2023-08-08 06:00,25.3,0,1.4,83,0.0,0.0
79,2023-08-08 07:00,25.7,0,3.1,81,0.0,0.12
80,2023-08-08 08:00,25.8,0,3.7,81,0.0,0.35
81,2023-08-08 09:00,26.7,0,3.1,78,0.1,0.89
82,2023-08-08 10:00,27.0,0,3.6,77,0.1,1.12
83,2023-08-08 11:00,27.3,0,2.9,75,0.1,1.15
84,2023-08-08 12:00,28.1,0,3.5,72,0.2,1.96
85,2023-08-08 13:00,29.1,0,2.9,69,0.5,2.59
86,2023-08-08 14:00,29.5,0,3.8,68,0.3,2.02
87,2023-08-08 15:00,28.9,0,3.8,70,0.4,1.96
88,2023-08-08 16:00,28.0,0,3.2,73,0.2,1.18
